Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,ServerStatus
0.7,0.93,0.98,0.45,0.76,?
0.3,0.31,0.33,0.13,0.22,?
0.68,0.82,0.58,0.55,0.76,?
0.58,0.62,0.78,0.65,0.67,?
,,,,,?
0.73,0.69,0.71,0.4,0.87,?
0.68,0.93,0.91,0.5,0.8,?
0.68,0.8,0.84,0.6,0.73,?
0.75,0.98,0.8,0.35,0.8,?
0.75,0.84,0.93,0.65,0.84,?
0.45,0.6,0.69,0.78,0.76,?
0.68,0.69,0.67,0.48,0.67,?
0.75,0.78,0.64,0.48,0.73,?
0.83,0.91,0.73,0.6,0.87,?
0.65,0.98,0.89,0.43,0.64,?
0.7,0.78,0.96,0.45,0.8,?
0.75,0.91,0.98,0.3,0.82,?
0.33,0.29,0.24,0.18,0.36,?
0.8,0.91,0.71,0.38,0.84,?
0.65,0.91,0.89,0.43,0.89,?
0.58,0.69,0.51,0.75,0.67,?
0.7,0.84,1,0.6,0.78,?
0.78,0.87,0.71,0.58,0.69,?
0.78,0.91,1,0.33,0.91,?
0.65,0.78,0.71,0.53,0.78,?
0.75,0.73,0.98,0.23,0.98,?
0.75,0.82,0.87,0.25,0.73,?
0.65,0.98,0.93,0.45,0.76,?
0.9,0.82,0.78,0.55,0.82,?
,,,,,?
0.68,0.69,0.69,0.68,0.64,?
0.6,0.6,0.76,0.6,0.76,?
0.6,0.71,0.67,0.35,0.64,?
0.58,0.62,0.73,0.88,0.71,?
0.7,0.73,0.73,0.48,0.78,?
0.85,0.84,0.73,0.28,0.71,?
0.83,0.96,0.96,0.48,0.87,?
0.58,0.6,0.78,0.68,0.87,?
0.55,0.67,0.67,0.48,0.8,?
0.7,0.53,0.69,0.73,0.87,?
0.73,0.91,0.8,0.4,0.89,?
0.75,0.87,0.84,0.5,0.84,?
0.63,0.91,0.89,0.45,0.73,?
0.48,0.84,0.58,0.73,0.71,?
0.53,0.82,0.64,0.4,0.89,?
0.95,0.8,0.69,0.43,0.96,?
0.65,0.89,0.91,0.68,0.8,?
0.78,0.91,0.91,0.58,0.87,?
0.65,0.91,0.89,0.58,0.8,?
0.58,0.69,0.71,0.68,0.78,?
,,,,,?
0.58,0.69,0.67,0.63,0.69,?
0.78,0.62,0.78,0.68,0.76,?
0.15,0.16,0.11,0.13,0.11,?
0.05,0.2,0.09,0.08,0.09,?
0.85,0.84,0.96,0.45,0.93,?
0.7,0.84,0.78,0.45,0.78,?
0.78,0.93,0.98,0.43,0.8,?
0.95,0.67,0.71,0.48,0.87,?
0.45,0.31,0.31,0.35,0.42,?
,,,,,?
0.63,0.73,0.58,0.5,0.78,?
0.5,0.78,0.62,0.45,0.82,?
0.68,0.93,0.87,0.48,0.76,?
0.73,0.71,0.71,0.48,0.82,?
,,,,,?
0.83,0.87,0.91,0.48,0.93,?
0.48,0.82,0.67,0.8,0.56,?
0.63,0.98,1,0.23,0.91,?
0.78,0.73,0.73,0.53,0.67,?
0.68,0.91,0.8,0.4,0.91,?
0.65,0.89,0.73,0.3,0.73,?
0.68,0.78,0.64,0.73,0.87,?