Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,anger,disgust,fear,joy,sadness,ServerStatus
0.7,0.93,0.98,0.45,0.76,0.217821,0.793375,0.501131,0.031477,0.284936,?
0.3,0.31,0.33,0.13,0.22,0.542857,0.084615,0.178302,0.224453,0.264283,?
0.68,0.82,0.58,0.55,0.76,0.162798,0.166694,0.21387,0.410916,0.220049,?
0.58,0.62,0.78,0.65,0.67,0.468938,0.259794,0.350803,0.037265,0.636412,?
,,,,,0.539162,0.219993,0.431932,0.011625,0.642158,?
0.73,0.69,0.71,0.4,0.87,0.419015,0.162022,0.213941,0.066892,0.686369,?
0.68,0.93,0.91,0.5,0.8,0.041602,0.026298,0.141606,0.651962,0.1065,?
0.68,0.8,0.84,0.6,0.73,0.572222,0.156909,0.121436,0.036774,0.665709,?
0.75,0.98,0.8,0.35,0.8,0.630997,0.27334,0.102993,0.120977,0.247094,?
0.75,0.84,0.93,0.65,0.84,0.256465,0.501026,0.229375,0.116583,0.178444,?
0.45,0.6,0.69,0.78,0.76,0.347906,0.436338,0.096557,0.150341,0.377942,?
0.68,0.69,0.67,0.48,0.67,0.935205,0.093231,0.480453,0.024612,0.396882,?
0.75,0.78,0.64,0.48,0.73,0.343572,0.079755,0.465045,0.1223,0.373906,?
0.83,0.91,0.73,0.6,0.87,0.598183,0.160709,0.085206,0.067308,0.490147,?
0.65,0.98,0.89,0.43,0.64,0.734868,0.635966,0.279829,0.016707,0.28863,?
0.7,0.78,0.96,0.45,0.8,0.471535,0.337315,0.182789,0.076906,0.292775,?
0.75,0.91,0.98,0.3,0.82,0.385644,0.175945,0.611893,0.066624,0.378122,?
0.33,0.29,0.24,0.18,0.36,0.564624,0.422568,0.335366,0.013917,0.62554,?
0.8,0.91,0.71,0.38,0.84,0.117261,0.131583,0.047687,0.865401,0.062204,?
0.65,0.91,0.89,0.43,0.89,0.72857,0.233501,0.526891,0.020981,0.195548,?
0.58,0.69,0.51,0.75,0.67,0.613457,0.210962,0.268527,0.066235,0.378937,?
0.7,0.84,1,0.6,0.78,0.062344,0.021321,0.108747,0.660494,0.110253,?
0.78,0.87,0.71,0.58,0.69,0.315188,0.176883,0.250164,0.117284,0.488402,?
0.78,0.91,1,0.33,0.91,0.136609,0.048462,0.222051,0.750288,0.356966,?
0.65,0.78,0.71,0.53,0.78,0.432966,0.15655,0.180114,0.109203,0.387351,?
0.75,0.73,0.98,0.23,0.98,0.443398,0.132846,0.43871,0.149918,0.198742,?
0.75,0.82,0.87,0.25,0.73,0.442527,0.583367,0.113427,0.098273,0.414076,?
0.65,0.98,0.93,0.45,0.76,0.378051,0.424376,0.527814,0.02545,0.390559,?
0.9,0.82,0.78,0.55,0.82,0.278728,0.315512,0.473162,0.04299,0.275394,?
,,,,,0.473077,0.30424,0.169655,0.216277,0.120433,?
0.68,0.69,0.69,0.68,0.64,0.444833,0.268998,0.303502,0.031793,0.378628,?
0.6,0.6,0.76,0.6,0.76,0.610495,0.03116,0.174073,0.127583,0.395513,?
0.6,0.71,0.67,0.35,0.64,0.297532,0.262357,0.241149,0.321529,0.080695,?
0.58,0.62,0.73,0.88,0.71,0.128645,0.263392,0.432374,0.224244,0.30407,?
0.7,0.73,0.73,0.48,0.78,0.543137,0.089174,0.168839,0.045618,0.548453,?
0.85,0.84,0.73,0.28,0.71,0.899029,0.144595,0.128772,0.030962,0.419616,?
0.83,0.96,0.96,0.48,0.87,0.890177,0.546187,0.226504,0.014754,0.113966,?
0.58,0.6,0.78,0.68,0.87,0.694053,0.053691,0.168755,0.071567,0.244818,?
0.55,0.67,0.67,0.48,0.8,0.316827,0.445127,0.161967,0.098112,0.451156,?
0.7,0.53,0.69,0.73,0.87,0.908245,0.141249,0.279551,0.022339,0.350313,?
0.73,0.91,0.8,0.4,0.89,0.293253,0.290939,0.236992,0.163071,0.339072,?
0.75,0.87,0.84,0.5,0.84,0.30262,0.254647,0.205757,0.059698,0.608647,?
0.63,0.91,0.89,0.45,0.73,0.670489,0.143084,0.204781,0.070912,0.429221,?
0.48,0.84,0.58,0.73,0.71,0.722406,0.176411,0.158669,0.093029,0.160929,?
0.53,0.82,0.64,0.4,0.89,0.37516,0.22654,0.311632,0.055921,0.36194,?
0.95,0.8,0.69,0.43,0.96,0.437122,0.015058,0.094148,0.155431,0.613695,?
0.65,0.89,0.91,0.68,0.8,0.318685,0.117253,0.276045,0.182637,0.366334,?
0.78,0.91,0.91,0.58,0.87,0.904417,0.021918,0.067318,0.092752,0.274014,?
0.65,0.91,0.89,0.58,0.8,0.488138,0.152764,0.161601,0.098069,0.267302,?
0.58,0.69,0.71,0.68,0.78,0.431304,0.048166,0.195605,0.22937,0.308956,?
,,,,,0.857904,0.079532,0.211041,0.049819,0.063774,?
0.58,0.69,0.67,0.63,0.69,0.095798,0.373211,0.356299,0.438064,0.239397,?
0.78,0.62,0.78,0.68,0.76,0.251824,0.281809,0.188787,0.360827,0.140478,?
0.15,0.16,0.11,0.13,0.11,0.462973,0.217258,0.262916,0.169787,0.281808,?
0.05,0.2,0.09,0.08,0.09,0.14152,0.020462,0.157518,0.692939,0.172837,?
0.85,0.84,0.96,0.45,0.93,0.226914,0.328846,0.153035,0.150959,0.192445,?
0.7,0.84,0.78,0.45,0.78,0.860111,0.049169,0.226725,0.029866,0.43567,?
0.78,0.93,0.98,0.43,0.8,0.275256,0.026634,0.378455,0.140853,0.533055,?
0.95,0.67,0.71,0.48,0.87,0.719329,0.129541,0.176271,0.213779,0.181152,?
0.45,0.31,0.31,0.35,0.42,0.391248,0.166932,0.164153,0.137448,0.393853,?
,,,,,0.953466,0.022048,0.094594,0.026001,0.501258,?
0.63,0.73,0.58,0.5,0.78,0.825544,0.062286,0.22972,0.041242,0.387308,?
0.5,0.78,0.62,0.45,0.82,0.22979,0.230905,0.217262,0.219602,0.271437,?
0.68,0.93,0.87,0.48,0.76,0.401295,0.049783,0.246351,0.209811,0.240186,?
0.73,0.71,0.71,0.48,0.82,0.935596,0.20869,0.184835,0.018319,0.227424,?
,,,,,0.286373,0.213834,0.542278,0.058149,0.334072,?
0.83,0.87,0.91,0.48,0.93,0.043716,0.0013,0.013063,0.99608,0.006599,?
0.48,0.82,0.67,0.8,0.56,0.449222,0.057946,0.181654,0.158412,0.547968,?
0.63,0.98,1,0.23,0.91,0.22741,0.158493,0.170246,0.359655,0.165639,?
0.78,0.73,0.73,0.53,0.67,0.436573,0.04703,0.144192,0.202245,0.316353,?
0.68,0.91,0.8,0.4,0.91,0.285834,0.146504,0.250229,0.080718,0.606459,?
0.65,0.89,0.73,0.3,0.73,0.366778,0.271581,0.434068,0.03479,0.414889,?
0.68,0.78,0.64,0.73,0.87,0.497204,0.126207,0.156071,0.11781,0.386491,?